onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.001	begin	1	0	PsychophysicsToolbox
0.499	0.001	stim_on	4	499	PsychophysicsToolbox
1.293	0.001	resp	3	1293	PsychophysicsToolbox
1.299	0.001	resp	3	1299	PsychophysicsToolbox
1.304	0.001	resp	3	1304	PsychophysicsToolbox
1.309	0.001	resp	3	1309	PsychophysicsToolbox
1.315	0.001	resp	3	1315	PsychophysicsToolbox
1.32	0.001	resp	3	1320	PsychophysicsToolbox
1.325	0.001	resp	3	1325	PsychophysicsToolbox
1.33	0.001	resp	3	1330	PsychophysicsToolbox
1.335	0.001	resp	3	1335	PsychophysicsToolbox
1.34	0.001	resp	3	1340	PsychophysicsToolbox
1.35	0.001	resp	3	1350	PsychophysicsToolbox
1.355	0.001	resp	3	1355	PsychophysicsToolbox
1.36	0.001	resp	3	1360	PsychophysicsToolbox
1.365	0.001	resp	3	1365	PsychophysicsToolbox
1.37	0.001	resp	3	1370	PsychophysicsToolbox
1.375	0.001	resp	3	1375	PsychophysicsToolbox
1.38	0.001	resp	3	1380	PsychophysicsToolbox
1.385	0.001	resp	3	1385	PsychophysicsToolbox
1.39	0.001	resp	3	1390	PsychophysicsToolbox
1.918	0.001	stim_on	4	1918	PsychophysicsToolbox
2.732	0.001	resp	3	2732	PsychophysicsToolbox
2.739	0.001	resp	3	2739	PsychophysicsToolbox
2.744	0.001	resp	3	2744	PsychophysicsToolbox
2.749	0.001	resp	3	2749	PsychophysicsToolbox
2.754	0.001	resp	3	2754	PsychophysicsToolbox
2.759	0.001	resp	3	2759	PsychophysicsToolbox
2.764	0.001	resp	3	2764	PsychophysicsToolbox
2.769	0.001	resp	3	2769	PsychophysicsToolbox
2.774	0.001	resp	3	2774	PsychophysicsToolbox
2.779	0.001	resp	3	2779	PsychophysicsToolbox
2.79	0.001	resp	3	2790	PsychophysicsToolbox
2.795	0.001	resp	3	2795	PsychophysicsToolbox
2.8	0.001	resp	3	2800	PsychophysicsToolbox
2.805	0.001	resp	3	2805	PsychophysicsToolbox
2.81	0.001	resp	3	2810	PsychophysicsToolbox
2.815	0.001	resp	3	2815	PsychophysicsToolbox
2.82	0.001	resp	3	2820	PsychophysicsToolbox
2.825	0.001	resp	3	2825	PsychophysicsToolbox
2.83	0.001	resp	3	2830	PsychophysicsToolbox
2.84	0.001	resp	3	2840	PsychophysicsToolbox
2.845	0.001	resp	3	2845	PsychophysicsToolbox
2.85	0.001	resp	3	2850	PsychophysicsToolbox
2.855	0.001	resp	3	2855	PsychophysicsToolbox
2.86	0.001	resp	3	2860	PsychophysicsToolbox
2.865	0.001	resp	3	2865	PsychophysicsToolbox
2.87	0.001	resp	3	2870	PsychophysicsToolbox
2.875	0.001	resp	3	2875	PsychophysicsToolbox
3.571	0.001	stim_on	4	3571	PsychophysicsToolbox
4.462	0.001	resp	3	4462	PsychophysicsToolbox
4.469	0.001	resp	3	4469	PsychophysicsToolbox
4.474	0.001	resp	3	4474	PsychophysicsToolbox
4.479	0.001	resp	3	4479	PsychophysicsToolbox
4.484	0.001	resp	3	4484	PsychophysicsToolbox
4.489	0.001	resp	3	4489	PsychophysicsToolbox
4.494	0.001	resp	3	4494	PsychophysicsToolbox
4.499	0.001	resp	3	4499	PsychophysicsToolbox
4.504	0.001	resp	3	4504	PsychophysicsToolbox
4.51	0.001	resp	3	4510	PsychophysicsToolbox
